,female_violence_fraction,female_violence_counts,prostitution_fraction,prostitution_counts,avg_commute,male_epop,female_epop,female_violence_share,violence_per_capita,female_violence_share,relative_sex_crime,swnftemp,swnauthemp,rate
0,,,,,18.761538245061054,,,,,,0.008088748730977119,179.0,197.0,0.3333333333333333
1,0.15673947977184824,8876.0,0.00014127037383672688,8.0,25.263338840374466,0.5093973481095707,0.46390830289333695,0.6262612008749036,0.02994639525522999,0.6262612008749036,0.015915594269615856,975.0,1034.0,0.4088397790055249
2,,,,,24.60544139649654,0.5232321953072866,0.47241362639082984,,,,,,,0.8265895953757225
3,,,,,25.542896431092792,0.48686979847307266,0.4005573982759231,,,,0.009395629950030907,1208.0,1347.0,0.5103115401491882
4,,,,,24.796895753158754,,,,,,,,,0.8095238095238095
5,,,,,29.45752510661714,0.4901059151440067,0.43921675920204206,,,,,,,0.45961820851688695
6,,,,,20.835139713650758,,,,,,,,,0.4473684210526316
7,0.0812101910828025,3060.0,0.0040339702760084925,152.0,20.92603198663347,0.5175150563813428,0.43694820065871953,0.606180665610143,0.031159532113206385,0.606180665610143,0.011718761220396104,479.0,494.0,0.631578947368421
8,,,,,23.840311292118912,0.5364622087646937,0.4938902788353458,,,,0.029335350640044625,385.0,399.0,0.32
9,0.12073149307156827,21991.0,0.0014054505127698359,256.0,25.36412634349084,0.5098615829234904,0.4815025804450209,0.6034189441334652,0.1687745735945871,0.6034189441334652,0.013481255290653882,265.0,288.0,0.2727272727272727
10,,,,,24.801447953483056,0.42378750825583317,0.3403236459709382,,,,,,,0.44
11,0.08113297326176426,9719.0,0.0015193128031321234,182.0,21.431692883960984,,,0.5811061285500754,0.11071686272432987,0.5811061285500754,,,,0.12244897959183673
12,,,,,23.536028416779438,0.47106077728098966,0.4270148296407349,,,,,,,0.3237410071942446
13,,,,,23.697078971338755,,,,,,,,,0.25
14,,,,,26.12714540824764,0.4610144826571916,0.44482994270094134,,,,,,,0.6111111111111112
15,0.0984598073000914,4200.0,0.0,0.0,25.664505954268776,0.4460792314687435,0.40127188360786065,0.6117989803350322,0.018338306357902824,0.6117989803350322,,,,0.34134615384615385
16,0.09036827195467415,319.0,0.0,0.0,27.980670096884378,0.5603297786279443,0.4783957525440491,0.617021276595744,0.00045398824723655523,0.617021276595744,0.005253486615629743,10872.0,11574.0,0.36808266360505165
17,,,,,25.696688226993874,0.42015413882470803,0.33511140038108206,,,,0.0029192882238754446,950.0,1066.0,0.5387523629489603
18,,,,,32.99894129652973,0.5262988839860309,0.48617359089706336,,,,0.011120145157145095,7850.0,8191.0,0.4458689458689459
19,,,,,23.618435091507052,0.4472097790600563,0.3776840014893882,,,,0.011407537774725278,639.0,633.0,0.32019704433497537
20,0.06231677170014972,8949.0,0.001378782075833015,198.0,22.602433608368294,0.5129934810694602,0.4569209510649447,0.5486481515541657,0.12415604186489046,0.5486481515541657,,,,0.6237623762376238
21,0.05590174297841596,1857.0,3.0103254161774885e-05,1.0,20.899231508165233,,,0.5319392724147814,0.031791854873961814,0.5319392724147814,0.007783961858263637,134.0,134.0,0.2222222222222222
22,,,,,21.71383971616601,0.46567848792589583,0.42284620398867884,,,,,,,0.22505307855626328
23,0.1245403285118902,1016.0,0.0,0.0,28.631377840789575,0.48256086012947597,0.4080143573350819,0.6496163682864449,0.0020529083305549927,0.6496163682864449,,,,0.39846743295019155
24,0.1005072197880468,23283.0,0.0005957134531954849,138.0,23.296794306831195,0.5019842452121887,0.3998860597330368,0.5939995407811826,0.09815175121634845,0.5939995407811826,0.013213536449215975,613.0,638.0,0.27502876869965476
25,0.12524044780766894,129109.0,0.0022960764932015007,2367.0,32.230875049363,0.5527048744558544,0.4979224014061229,0.5612751491122824,0.07304164263994975,0.5612751491122824,0.012666809804347841,25530.0,2683650.0,0.45197558625120465
26,0.08932824575900444,7351.0,0.0012273368006610606,101.0,31.493670710507804,0.5331365461537875,0.458121388908978,0.534890489703849,0.0804870335230867,0.534890489703849,,,,1.0
27,0.13226640047013746,16430.0,0.00038641431665043186,48.0,,0.5388870824486022,0.45184480301185526,0.5614214932513237,,0.5614214932513237,0.03889061843385997,3402.0,3680.0,0.13479052823315119
28,,,,,,0.3615557343984418,0.3064285482893148,,,,0.0045386772216706875,363.0,372.0,0.6339869281045751
29,,,,,23.041074799919922,0.4903926027312599,0.4525310182178618,,,,0.009357876751920806,1710.0,1754.0,0.5169590643274854
30,0.1306465011028042,13683.0,0.0,0.0,24.189210620408065,0.4651136841998492,0.4310269074967291,0.5633878206447891,0.08746745225430273,0.5633878206447891,,,,0.2518248175182482
31,,,,,29.032534996583557,0.42208201697713105,0.3818878404505086,,,,0.0040264677598568985,1056.0,1097.0,0.5660377358490566
32,0.0830937521912909,4740.0,0.0008239253909263021,47.0,21.534386660813418,,,0.5916125811283071,0.04631642232807655,0.5916125811283071,0.008753872076037698,296.0,311.0,0.5
33,0.13915878897192263,86720.0,0.0061026392350117835,3803.0,26.769882157969878,0.5084033011228292,0.4588867961934967,0.6189334246888196,0.30944419659618433,0.6189334246888196,0.008434661071601445,1226.0,1264.0,0.0
34,0.16449595409265275,10205.0,0.00033850220832393034,21.0,27.749921144369313,0.505642151065241,0.4395584925223281,0.623930056248472,0.010985106704501577,0.623930056248472,,,,0.4348302300109529
35,0.11891409909329201,11069.0,0.00042971939323621655,40.0,26.58737276597584,,,0.5621635347892328,0.133896391801651,0.5621635347892328,,,,0.4127659574468085
36,0.12329351172051525,14459.0,0.001398446360202262,164.0,25.10094135829571,0.4948107340309904,0.432260657299357,0.6142832866003903,0.06444141465578128,0.6142832866003903,0.0043742601486031615,545.0,536.0,0.31290743155149936
37,,,,,33.83276702734489,0.5138671855222571,0.4475085098023682,,,,0.014562361691582969,87100.0,88728.0,0.45179221774966455
38,,,,,21.523695393721706,0.4180711950599351,0.4072242701202259,,,,,,,0.42028985507246375
39,0.08571031218580225,37594.0,0.000344263902219932,151.0,26.487102375388332,0.5145969635802422,0.44447428557525487,0.5782180045218939,0.04655454013634764,0.5782180045218939,0.009644212312485778,2259.0,2635.0,0.41100917431192663
40,0.09050365989626254,9335.0,0.0003490232197392025,36.0,24.59318623683137,0.49690911650646996,0.37479957065051683,0.5468658465143529,0.10718793366529981,0.5468658465143529,0.013380718577958375,333.0,361.0,0.5277777777777778
41,0.15094589197068167,116398.0,7.780849772539826e-06,6.0,26.799435405831755,0.49271066651513007,0.45067693922959495,0.6319212582181032,0.12942389968570991,0.6319212582181032,0.014456063644386128,2337.0,2463.0,0.3226817042606516
42,,,,,21.056294593074316,0.504094823452694,0.45146008553829764,,,,,,,0.8571428571428571
43,0.04916922691077813,3921.0,0.0008527180387485108,68.0,24.078420465293533,0.5298152527729544,0.4399352636780861,0.5260968737421171,0.017856329976736224,0.5260968737421171,0.02005350209141286,1087.0,1095.0,0.7857142857142857
44,0.12257922535211269,25065.0,0.00020539906103286378,42.0,25.64765047910486,0.4987867699534169,0.45170672235374215,0.6102697701597191,0.08169987945528104,0.6102697701597191,0.009711322083040654,1703.0,1740.0,0.2037037037037037
45,0.11591250697138171,92695.0,1.6256136691601077e-05,13.0,25.459526363514453,0.5262590686183978,0.48168386987605194,0.5705255642475985,0.12899064126544574,0.5705255642475985,0.01152050241624697,4471.0,1004562.0,0.3457408732999284
46,0.12208713272543058,1687.0,0.0,0.0,22.18740146350479,0.512645331415558,0.4183434026847018,0.616368286445013,0.009825637122743274,0.616368286445013,,,,1.0
47,0.08926279513964909,105991.0,0.0007461655847546409,886.0,29.524663459545916,0.539827204848276,0.44283890210719035,0.6016848606640661,0.04240130864759762,0.6016848606640661,0.00830724781640004,138572.0,148120.0,0.27533632286995513
48,0.10703009288494443,9322.0,0.0017911064675017508,156.0,21.370934606481462,,,0.5915349958753733,0.06095334607143138,0.5915349958753733,0.010291715909326522,309.0,310.0,0.5263157894736842
49,0.11677443575906421,55677.0,0.00023280640783907415,111.0,,0.49127956771571457,0.4244319066613964,0.5910823292106795,,0.5910823292106795,0.012565892977417219,1068.0,1185.0,0.46449704142011833
50,,,,,27.742984004361606,0.4236289579595599,0.3634391025641027,,,,,,,0.4
51,0.06118443189890456,45822.0,0.0007103600403783604,532.0,29.258286654200695,0.5508679027051288,0.4795746893330499,0.531331168831169,0.049570881935195696,0.531331168831169,0.01619302514218348,32736.0,32874.0,0.29646522234891676
52,0.08304256803907882,18326.0,0.0012869196400250146,284.0,22.023324572930367,0.5502933255072441,0.493636039477104,0.5687065541211522,0.08466453674121412,0.5687065541211522,0.009698129163578642,1062.0,1067.0,0.23076923076923078
53,0.1394594833941077,340152.0,0.0005551287086820655,1354.0,28.766854721224398,0.47535251230888076,0.42103948647764405,0.6285864234261863,0.1869978737440041,0.6285864234261863,0.010865526169421102,22275.0,23751.0,0.3941766576951309
54,0.12768097425721045,4697.0,0.0002990186750754342,11.0,28.217090940136895,0.47747178658632916,0.42553952270551526,0.5674075863735198,0.07774594975346319,0.5674075863735198,,,,0.16666666666666666
55,,,,,21.753513090801704,,,,,,,,,0.4675324675324675
56,,,,,20.43474931073217,0.5281964875899162,0.4964144970605343,,,,,,,0.375
57,,,,,21.48538913276297,0.5161493522987046,0.4216702254784807,,,,,,,0.0
58,,,,,25.31229772445908,0.47431538286419306,0.36682620180362724,,,,0.01225754085324593,1331.0,1601.0,0.6918367346938775
59,,,,,21.55144912055826,0.46760602293134423,0.43848724346784207,,,,0.009448246173942736,182.0,189.0,0.3351063829787234
60,0.1247426629003687,5211.0,0.0,0.0,22.563656511644247,,,0.5742148760330574,0.04324620553265503,0.5742148760330574,0.00973495675414826,428.0,432.0,0.5757575757575758
61,0.11883479933050814,16685.0,0.0,0.0,18.740548956191898,,,0.5740383953760404,0.2216021286490856,0.5740383953760404,0.020031536055497123,135.0,136.0,0.28990825688073396
62,,,,,24.079646442043334,0.5012725876371759,0.37907029236014556,,,,0.004817463540766598,693.0,708.0,0.39384615384615385
63,0.12246335125270282,49388.0,0.0005157604491083297,208.0,23.031543705868014,0.5237290091241523,0.41767340844305734,0.5924237698822062,0.2822674576087542,0.5924237698822062,,,,0.39436619718309857
64,,,,,,0.4683705314224017,0.4571824615160138,,,,,,,0.5416666666666666
65,0.1346766195124498,15480.0,8.700040020184101e-05,10.0,27.813070030668904,,,0.6266445371007566,0.08823035684309401,0.6266445371007566,0.015987867321616087,411.0,411.0,0.1643835616438356
66,0.05677419354838712,5676.0,1.0002500625156295e-05,1.0,24.442215874882756,0.5496489028213174,0.5022046642028796,0.5229408512990604,0.05499455323892284,0.5229408512990604,0.011895409325378964,271.0,293.0,0.28
67,,,,,22.76287541955449,0.504364330688973,0.41438241261962705,,,,0.010088437049955141,579.0,590.0,1.0
68,,,,,24.219385914815582,0.4359041282443649,0.35199643653303,,,,0.0020521809854581762,1313.0,1391.0,0.0
69,,,,,25.855418613393464,0.39967806841046294,0.34548134500230315,,,,,,,0.5069124423963134
70,,,,,23.913283596550738,0.482691616864244,0.4035900128896741,,,,,,,0.75
71,0.05781105279407227,749.0,0.00023155294844087683,3.0,22.70616633053308,0.4956893167292197,0.40842938642449605,0.5119617224880385,0.014873630060389179,0.5119617224880385,,,,0.0
72,0.14871971797968,33623.0,0.0008979003286403657,203.0,23.60534267895079,0.5196828126318481,0.4514476190058755,0.6019801625666912,0.08791668896563233,0.6019801625666912,0.010035136966326488,412.0,427.0,0.15
73,0.07572244572060306,29589.0,0.00021496790836225162,84.0,28.21169383353368,,,0.5155776267642446,0.35892079851903713,0.5155776267642446,0.01617556886916317,174.0,191.0,0.7559055118110236
74,0.09916076184732903,9866.0,0.00035177647117945633,35.0,21.595838934376157,,,0.5866682523636796,0.08184012536133844,0.5866682523636796,0.018544533188284335,149.0,150.0,0.0
75,,,,,24.16047034411204,0.47106173357090486,0.41951292644741983,,,,0.005802387267904509,1264.0,1369.0,0.561817387505461
76,0.12125044150928585,27806.0,0.0002529139612867214,58.0,,0.47491880267829,0.39933586497181267,0.6185846810971941,,0.6185846810971941,,,,0.3333333333333333
77,0.12019292929860753,21381.0,0.0016639589856595968,296.0,,0.472957575757576,0.4050009030055522,0.5960026760327818,,0.5960026760327818,,,,0.29625425652667425
78,0.11898476216942255,2569.0,0.0055578713352785955,120.0,,,,0.6801694466507806,,0.6801694466507806,,,,0.12574850299401197
79,,,,,24.213273985161667,0.5226000022061338,0.4638547672034633,,,,,,,0.4982517482517482
80,0.1278043878310123,19585.0,0.00036543506349434243,56.0,25.367259502638923,0.522917015020158,0.4693084955163761,0.6135267213833726,0.03853843219254484,0.6135267213833726,0.007536253545088357,2512.0,2696.0,0.0
81,,,,,24.205137659783666,,,,,,,,,0.2857142857142857
82,,,,,,0.4423452865947381,0.3772630380894509,,,,,,,0.514018691588785
83,,,,,26.391419743305306,0.5269827456064785,0.3672656016473482,,,,,,,0.18571428571428572
84,0.0949345752384758,15207.0,0.0002621984717574787,42.0,31.139493595520808,0.5330902244144224,0.41938731872957496,0.5930504640823645,0.006740191407557104,0.5930504640823645,0.006830809786303856,18334.0,21978.0,0.39815826439831437
85,,,,,26.96989488234047,0.5052728563984474,0.451538986560287,,,,,,,0.42637091805298827
86,,,,,25.845379621432482,0.450888268976655,0.420863507364095,,,,0.010752711136144344,466.0,506.0,0.0
87,,,,,27.83235538296048,0.5022399346189405,0.422972951723093,,,,0.009763129415989875,2200.0,2250.0,0.4488267598602097
88,,,,,26.56682527291425,,,,,,,,,1.0
89,,,,,24.66494144260229,0.47129878569335293,0.42915503091350277,,,,,,,0.38461538461538464
90,,,,,24.56805344245666,0.439591400335202,0.42394596178806204,,,,,,,0.4339622641509434
91,0.11295373665480427,20631.0,0.00035587188612099663,65.0,21.38276968319744,0.5150528407020345,0.39393435167004975,0.5993202416918425,0.3033486076841734,0.5993202416918425,,,,0.2809917355371901
92,0.12468028861283881,43580.0,0.001416171245143533,495.0,24.901046544121876,0.5289226431309687,0.4658132489521293,0.5993178942736118,0.05412385905288454,0.5993178942736118,0.01033815453800911,10518.0,11049.0,0.6923076923076923
93,0.09287864810166413,25975.0,0.00048271867155821565,135.0,,,,0.5941760453838408,,0.5941760453838408,,,,0.0
94,0.1344080165559307,13574.0,0.0,0.0,21.734705838627207,,,0.580432737535278,0.09488645354475123,0.580432737535278,0.014844905466592449,445.0,473.0,0.3550420168067227
95,0.10209258459919233,17266.0,0.0014664057095215845,248.0,25.344274923320448,0.4708501668715964,0.38937585607857483,0.6075726652121889,0.049200564409317915,0.6075726652121889,0.008538824909442553,639.0,820.0,0.49337748344370863
96,,,,,22.866770543386195,,,,,,,,,0.05263157894736842
97,,,,,25.832714104426135,0.4995085580016743,0.42560061714789504,,,,0.0019589400769148163,622.0,670.0,0.14285714285714285
98,0.07923655292076338,274.0,0.0,0.0,22.898657353236665,,,0.5756302521008402,0.0036706586364582774,0.5756302521008402,,,,0.0
99,,,,,28.196983021486083,0.4243320616952401,0.3701007593000139,,,,,,,0.0
100,,,,,24.467135721893804,0.5317611406814561,0.4503028984598817,,,,,,,0.13793103448275862
